mosquito_species;male;fem_unfed;fem_fed;fem_gravid;total;collection_date;remarks;source
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;0;0;0;0;26/1/24;;
Culex;0;0;0;0;0;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;0;0;0;0;26/1/24;;
Culex;0;0;0;0;0;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;0;0;0;0;26/1/24;;
Culex;0;0;0;0;0;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;27/1/24;;
Aedes Aegypti;0;0;0;0;0;27/1/24;;
Culex;0;0;0;0;0;27/1/24;;
Others;0;0;0;0;0;27/1/24;;
Aedes Albopictus;0;0;0;0;0;27/1/24;;
Aedes Aegypti;0;0;0;0;0;27/1/24;;
Culex;0;0;0;0;0;27/1/24;;
Others;0;0;0;0;0;27/1/24;;
Aedes Albopictus;0;0;0;0;0;27/1/24;;
Aedes Aegypti;0;0;0;0;0;27/1/24;;
Culex;0;0;0;0;0;27/1/24;;
Others;0;0;0;0;0;27/1/24;;
Aedes Albopictus;0;0;0;0;0;27/1/24;;
Aedes Aegypti;0;0;0;0;0;27/1/24;;
Culex;1;4;0;0;5;27/1/24;;
Others;0;0;0;0;0;27/1/24;;
Aedes Albopictus;0;0;0;0;0;27/1/24;;
Aedes Aegypti;0;0;0;0;0;27/1/24;;
Culex;3;1;1;0;5;27/1/24;;
Others;0;0;0;0;0;27/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;0;0;0;0;0;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;0;1;0;0;1;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
